file|split|txt|ipa
Train/Clean/Wav/GJ/20160314/GJ_20160314_015|train|不過 我們 也 知道 改革 改變 很多 都 是 這 個 有利有弊 所以 數位 教科書 呢 聽起來 很 新 但是 不 蠻 各 位 聽眾 也 是 受到 很多 的 質疑 例如 說 是 不 是 只 留 技術 層面 呢 到底 能 不能夠 增進 學習 效果 啊 那 也 有 人 關注 說 對於 健康 視力 是 不 是 有 不良 的 影響|pu kʊɔ wɔ mən jɛ tʂɭ tɑu kai kə kai piɛn hən tʊɔ tou ʂɭ tʂə kə jou ɫi jou pi sʊɔ i ʂu tsɨ tɕiɑu kʰə ʂu nə tʰiŋ tɕʰi ɫai hən ɕin tan ʂɭ pu man kə wei tʰiŋ tʂɔŋ jɛ ʂɭ ʂou tɑu hən tʊɔ tə tʂɭ i ɫi ʐu ʂʊɔ ʂɭ pu ʂɭ tʂɭ ɫiou tɕi ʂu tsʰəŋ miɛn nə tɑu ti nəŋ pu nəŋ kou tsəŋ tɕin ɕyɛ ɕi ɕiɑu kʊɔ ɑ nɑ jɛ jou ʐən kuan tʂu ʂʊɔ tuei y tɕiɛn kʰɑŋ ʂɭ ɫi ʂɭ pu ʂɭ jou pu ɫiɑŋ tə jiŋ ɕiɑŋ
Train/Clean/Wav/GJ/20160314/GJ_20160314_038|train|所以 呢 目前 是 紙本 跟 數位 教科書 會 混合 的 使用 而 不 是 呢 把 數位 教科書 全然 的 去 取代 這 個 紙本 大家 也 在 關注 如果說 過度 的 這 個 沉迷 網路 啊 過度 的 依賴 科技 而 缺乏 學習 的 專注力 的 話 呢 韓國 政府 也 開始 關注 這 個 部分 的 一 個 議題|sʊɔ i nə mu tɕʰiɛn ʂɭ tʂɭ pən kən ʂu tsɨ tɕiɑu kʰə ʂu huei hʊn hə tə ʂɭ jɔŋ ɚ pu ʂɭ nə pɑ ʂu tsɨ tɕiɑu kʰə ʂu tɕʰyan ʐan tə tɕʰy tɕʰy tai tʂə kə tʂɭ pən tɑ tɕiɑ jɛ tsai kuan tʂu ʐu kʊɔ ʂʊɔ kʊɔ tu tə tʂə kə tʂʰən mi wɑŋ ɫʊɔ ɑ kʊɔ tu tə i ɫai kʰə tɕi ɚ tɕʰyɛ fɑ ɕyɛ ɕi tə tʂuan tʂu ɫi tə huɑ nə han kʊɔ tʂəŋ fu jɛ kʰai ʂɭ kuan tʂu tʂə kə pu fən tə i kə i tʰi
Train/Clean/Wav/GJ/20160314/GJ_20160314_072|train|課程 就是 免費 的 他 那 個 整個 課程 包括 影片 啦 教材 啦 等等 都 放 在 一 個 網站 裡面 任何 人 都 可以 免費 的 去 取用 那 些 資源 我們 簡稱 它 是|kʰə tʂʰəŋ tɕiou ʂɭ miɛn fei tə tʰɑ nɑ kə tʂəŋ kə kʰə tʂʰəŋ pɑu kʰʊɔ jiŋ pʰiɛn ɫɑ tɕiɑu tsʰai ɫɑ təŋ təŋ tou fɑŋ tsai i kə wɑŋ tʂan ɫi miɛn ʐən hə ʐən tou kʰə i miɛn fei tə tɕʰy tɕʰy jɔŋ nɑ ɕiɛ tsɨ yan wɔ mən tɕiɛn tʂʰəŋ tʰɑ ʂɭ
Train/Clean/Wav/GJ/20160314/GJ_20160314_033|train|但是 呢 有 這麼多 的 一 個 措施 還是 會 遭到 一些 質疑 跟 挑戰 比方說 這 個 數位 教科書 如果 導入 中小學 的 教學 場域 的 適切性 如何 那 甚至 說 數位 教科書 取代 紙本 那 它 的 教學 效果 是 不 是 有 真的 達到 那麼 好 這 也 是 他們 在 做 檢討 的|tan ʂɭ nə jou tʂə mə tʊɔ tə i kə tsʰʊɔ ʂɭ hai ʂɭ huei tsɑu tɑu i ɕiɛ tʂɭ i kən tʰiɑu tʂan pi fɑŋ ʂʊɔ tʂə kə ʂu tsɨ tɕiɑu kʰə ʂu ʐu kʊɔ tɑu ʐu tʂɔŋ ɕiɑu ɕyɛ tə tɕiɑu ɕyɛ tʂʰɑŋ y tə ʂɭ tɕʰiɛ ɕiŋ ʐu hə nɑ ʂən tʂɭ ʂʊɔ ʂu tsɨ tɕiɑu kʰə ʂu tɕʰy tai tʂɭ pən nɑ tʰɑ tə tɕiɑu ɕyɛ ɕiɑu kʊɔ ʂɭ pu ʂɭ jou tʂən tə tɑ tɑu nɑ mə hɑu tʂə jɛ ʂɭ tʰɑ mən tsai tsʊɔ tɕiɛn tʰɑu tə
Train/Clean/Wav/GJ/20160314/GJ_20160314_064|train|那 第 二 就是 這 個 書生 因為 你 既然 要用 數位 的 對 我 想 不視 只有 用 手機 用 按 一 按 啦 滑一滑 啦 可能 要 有 還是 要 很多 這 個 基本 的 素養 這 個 比較 容易 克服 啦 因為 目前 我們 的 老師 跟 學生 在 這一 部 分 應該 都 還 不錯 啦|nɑ ti ɚ tɕiou ʂɭ tʂə kə ʂu ʂəŋ jin wei ni tɕi ʐan jɑu jɔŋ ʂu tsɨ tə tuei wɔ ɕiɑŋ pu ʂɭ tʂɭ jou jɔŋ ʂou tɕi jɔŋ an i an ɫɑ huɑ i huɑ ɫɑ kʰə nəŋ jɑu jou hai ʂɭ jɑu hən tʊɔ tʂə kə tɕi pən tə su jɑŋ tʂə kə pi tɕiɑu ʐɔŋ i kʰə fu ɫɑ jin wei mu tɕʰiɛn wɔ mən tə ɫɑu ʂɭ kən ɕyɛ ʂəŋ tsai tʂə i pu fən jiŋ kai tou hai pu tsʰʊɔ ɫɑ
Train/Clean/Wav/GJ/20160314/GJ_20160314_066|train|另外 一 個 就是 網路 因為 同時 要 這麼多 人 上去 你 這 個 頻寬 的 承載量 是 不 是 足夠 跟 電腦 一樣 就 你 家 當機 啦 當機 一 個 小時 那 影響 多少 學生 所以 這 個 都 是 目前 假如 說真的 要 推 目前 可能 要去 先 要 考慮 的 一 些 問題|ɫiŋ wai i kə tɕiou ʂɭ wɑŋ ɫʊɔ jin wei tʰɔŋ ʂɭ jɑu tʂə mə tʊɔ ʐən ʂɑŋ tɕʰy ni tʂə kə tai kʰuan tə tʂʰəŋ tsai ɫiɑŋ ʂɭ pu ʂɭ tsu kou kən tiɛn nɑu i jɑŋ tɕiou ni tɕiɑ tɑŋ tɕi ɫɑ tɑŋ tɕi i kə ɕiɑu ʂɭ nɑ jiŋ ɕiɑŋ tʊɔ ʂɑu ɕyɛ ʂəŋ sʊɔ i tʂə kə tou ʂɭ mu tɕʰiɛn tɕiɑ ʐu ʂʊɔ tʂən tə jɑu tʰuei mu tɕʰiɛn kʰə nəŋ jɑu tɕʰy ɕiɛn jɑu kʰɑu ɫy tə i ɕiɛ wʊn tʰi
Train/Clean/Wav/GJ/20160314/GJ_20160314_040|train|協助 這 些 中小學 教科書 的 出版 機構 呢 來 依照 課程 編制 電子 課本 它 已經 發展 好 而且 開始 是教 而且 開始 已經 在 使用 了|ɕiɛ tʂu tʂə ɕiɛ tʂɔŋ ɕiɑu ɕyɛ tɕiɑu kʰə ʂu tə tʂʰu pan tɕi kou nə ɫai i tʂɑu kʰə tʂʰəŋ piɛn tʂɭ tiɛn tsɨ kʰə pən tʰɑ i tɕiŋ fɑ tʂan hɑu ɚ tɕʰiɛ kʰai ʂɭ ʂɭ tɕiɑu ɚ tɕʰiɛ kʰai ʂɭ i tɕiŋ tsai ʂɭ jɔŋ ɫə
Train/Clean/Wav/GJ/20160314/GJ_20160314_047|dev|下 一段 節目 呢 我們 就 會 和 我們 兩 位 來賓 來聊 一 聊 臺灣 數位 教科書 的 未來 發展 怎麼樣 能夠 讓 臺灣 做 得 更 好 更 有 特色 我們 休息 一下 馬上 回到 現場|ɕiɑ i tuan tɕiɛ mu nə wɔ mən tɕiou huei hə wɔ mən ɫiɑŋ wei ɫai pin ɫai ɫiɑu i ɫiɑu tʰai wan ʂu tsɨ tɕiɑu kʰə ʂu tə wei ɫai fɑ tʂan tsən mə jɑŋ nəŋ kou ʐɑŋ tʰai wan tsʊɔ tə kəŋ hɑu kəŋ jou tʰə sə wɔ mən ɕiou ɕi i ɕiɑ mɑ ʂɑŋ huei tɑu ɕiɛn tʂʰɑŋ
Train/Clean/Wav/GJ/20160314/GJ_20160314_007|train|那 另外 一 個 專家 是 服務 在 臺北 市立 建國 高級 中學 他 的 專長 是 歷史 教育 的 黃 春木 老師 大家 好 我 是 黃 春木 很 開心 來到 這 個 節目 春木 老師 曾經 參與 過 課程 綱要 的 發展 他 也 自己 編過 一些 教科書 而且 得過 師鐸獎 他 的 星座 是 魔羯座 他 期望 自己 成為 一 個 溫和 而 剛毅 的 人|nɑ ɫiŋ wai i kə tʂuan tɕiɑ ʂɭ fu w tsai tʰai pei ʂɭ ɫi tɕiɛn kʊɔ kɑu tɕi tʂɔŋ ɕyɛ tʰɑ tə tʂuan tʂʰɑŋ ʂɭ ɫi ʂɭ tɕiɑu y tə huɑŋ tʂʰʊn mu ɫɑu ʂɭ tɑ tɕiɑ hɑu wɔ ʂɭ huɑŋ tʂʰʊn mu hən kʰai ɕin ɫai tɑu tʂə kə tɕiɛ mu tʂʰʊn mu ɫɑu ʂɭ tsʰəŋ tɕiŋ tsʰan y kʊɔ kʰə tʂʰəŋ kɑŋ jɑu tə fɑ tʂan tʰɑ jɛ tsɨ tɕi piɛn kʊɔ i ɕiɛ tɕiɑu kʰə ʂu ɚ tɕʰiɛ tə kʊɔ ʂɭ tʊɔ tɕiɑŋ tʰɑ tə ɕiŋ tsʊɔ ʂɭ mɔ tɕiɛ tsʊɔ tʰɑ tɕʰi wɑŋ tsɨ tɕi tʂʰəŋ wei i kə wʊn hə ɚ kɑŋ i tə ʐən
Train/Clean/Wav/GJ/20160314/GJ_20160314_069|train|有些 地方 財源 比較 充裕 他 就 可以 做 大 有些 地方 根本 很 窮 他 就 沒有 辦法 出售 那麼多 財源 來辦 這 些 事情 所以 步調 不 一致 所以 嚴格 來 講 這 個 也 不能 是 我們 的 政策 假如 說 一 個 政策 的 話 應該 這是 第 一點 我 要 提出來 的|jou ɕiɛ ti fɑŋ tsʰai yan pi tɕiɑu tʂʰɔŋ y tʰɑ tɕiou kʰə i tsʊɔ tɑ jou ɕiɛ ti fɑŋ kən pən hən tɕʰiɔŋ tʰɑ tɕiou mei jou pan fɑ tʂʰu ʂou nɑ mə tʊɔ tsʰai yan ɫai pan tʂə ɕiɛ ʂɭ tɕʰiŋ sʊɔ i pu tiɑu pu i tʂɭ sʊɔ i jɛn kə ɫai tɕiɑŋ tʂə kə jɛ pu nəŋ ʂɭ wɔ mən tə tʂəŋ tsʰə tɕiɑ ʐu ʂʊɔ i kə tʂəŋ tsʰə tə huɑ jiŋ kai tʂə ʂɭ ti i tiɛn wɔ jɑu tʰi tʂʰu ɫai tə
