file|split|txt|ipa
CZ001_1|train|šetřete peníze netelefonujte faxujte|ʃetr̝̊ete peɲiːze netelefonujte faksujte 
CZ001_2|train|je tento reklamní slogan pravdivý|je tento reklamɲiː sloɡan pravɟiviː 
CZ001_3|train|hlasité přečtení dobře čitelného textu na stránce a čtyři při řádkování jedna a půl trvá zhruba tři minuty|hlasiteː pr̝̊etʃteɲiː dobr̝e tʃitelneːho tekstu nastraːntse a tʃtir̝i pr̝̊i r̝aːtkovaːɲiː jedna a puːl tr̩vaː shruba tr̝̊i minuti 
CZ001_4|train|podle prospektů se faxem přenese normalizovaný obsah jedné stránky a čtyři za deset až třicet sekund|podle prospektuː se faksem pr̝̊enese normalizovaniː opsah jedneː straːŋki a tʃtir̝i zadeset aʃ tr̝̊itset sekunt 
CZ001_5|train|ve skutečnosti to sice trvá zhruba minutu protože doba přenosu více závisí na stavu telefonní linky než na rychlosti přístroje ale i tak je přenos informace faxem zhruba třikrát rychlejší než řeč|ve skutetʃnosci to sitse tr̩vaː shruba minutu protoʒe doba pr̝̊enosu viːtse zaːvisiː nastavu telefoɲiː liŋki neʒ narixlosci pr̝̊iːstroje ale i tak je pr̝̊enos informatse faksem shruba tr̝̊ikraːt rixleɪʃiː neʒ r̝etʃ 
CZ001_6|train|přenosová rychlost přístroje pro telefonní faksimile tak se správně nazývá zařízení o kterém dnes píšeme je sice zajímavý parametr pro posouzení jeho vlastností ale má z uživatelského hlediska omezený význam|pr̝̊enosovaː rixlost pr̝̊iːstroje pro telefoɲiː faksimile tak se spraːvɲe naziːvaː zar̝iːzeɲiː oktereːm dnes piːʃeme je sitse zajiːmaviː parametr̩ pro posoʊzeɲiː jeho vlastnosciː ale maː s uʒivatelskeːho hleɟiska omezeniː viːznam 
CZ001_7|train|protože smyslem článku je napomoci orientovat se vám při výběru zařízení pro vaši potřebu je nutné poněkud obšírněji vysvětlit proč je nutné tento parametr uváděný v prospektech brát jen jako orientační údaj|protoʒe smislem tʃlaːŋku je napomotsi orientovat se vaːm pr̝̊iviːbjeru zar̝iːzeɲiː provaʃi potr̝̊ebu je nutneː poɲekud opʃiːrɲeji visvjetlit protʃ je nutneː tento parametr̩ uvaːɟeniː v prospekteɣ braːt jen jako orientatʃɲiː uːdaj 
CZ001_8|train|aby byly údaje o přenosové rychlosti objektivně srovnatelné vydala mezinárodní normalizační organizace ccitt normalizovaný dopis na formátu a čtyři který se přenáší při laboratorních zkouškách nejvyšší rychlostí jaké je přístroj schopen|abi bili uːdaje o pr̝̊enosoveː rixlosci objektivɲe srovnatelneː vidala mezinaːrodɲiː normalizatʃɲiː orɡanizatse tstsit normalizovaniː dopis naformaːtu a tʃtir̝i kteriː se pr̝̊enaːʃiː pr̝̊i laboratorɲiːx skoʊʃkaːx neɪviʃʃiː rixlosciː jakeː je pr̝̊iːstroj sxopen 
CZ001_9|train|výsledek doba přenosu normalizované stránky v ideálních podmínkách je pak uváděn v prospektech|viːsledek doba pr̝̊enosu normalizovaneː straːŋki v ideaːlɲiːx podmiːŋkaːx je pak uvaːɟen v prospektex 
CZ001_10|train|v běžném provozu avšak telefonní linky nemají takovou kvalitu jako v laboratoři|v bjeʒneːm provozu afʃak telefoɲiː liŋki nemajiː takovoʊ kvalitu jako v laborator̝i 
