file|split|txt|ipa
FR001_1|train|a ces trois sortes de jours sont associés deux prix par jour en fonction de la consommation en heures pleines ou creuses|a se tʁwa sɔʁt də ʒuʁ sɔ̃t asosje dø pʁi paʁ ʒuʁ ɑ̃ fɔ̃ksjɔ̃ də la kɔ̃sɔmasjɔ̃ ɑ̃n œʁ plɛn u kʁøz 
FR001_2|train|ainsi les quartiers se débarrassent de ces populations sinistres et de ces bouges où la police ne met le pied que quand la justice l'ordonne|ɛ̃si le kaʁtje sə debaʁas də se popylasjɔ̃ sinistʁz e də se buʒz u la polis nə mɛ lə pje kə kɑ̃ la ʒystis lɔʁdɔn 
FR001_3|train|il est communément admis que les tests sont la pierre angulaire de la réussite du programme an deux mille|il ɛ kɔmynemɑ̃ admi kə le tɛst sɔ̃ la pjɛʁ ɑ̃ɡylɛʁ də la ʁeysit dy pʁɔɡʁam ɑ̃ dø mil 
FR001_4|train|article dix le bureau exécutif se réunit au moins une fois tous les six mois sur convocation du président ou sur la demande de la moitié de ses membres|aʁtikl di lə byʁo ɛɡzekytif sə ʁeynit o mwɛ̃z yn fwa tu le si mwa syʁ kɔ̃vokasjɔ̃ dy pʁezidɑ̃ u syʁ la dəmɑ̃d də la mwatje də se mɑ̃bʁ 
FR001_5|train|au cours des deux premières années tous les élèves suivent au sein du département de premier cycle des enseignements de formation générale dans les disciplines fondamentales|o kuʁ de dø pʁəmjɛʁz ane tu lez elɛv syivt o sɛ̃ dy depaʁtəmɑ̃ də pʁəmje sikl dez ɑ̃sɛɲəmɑ̃ də fɔʁmasjɔ̃ ʒeneʁal dɑ̃ le disiplin fɔ̃damɑ̃tal 
FR001_6|train|autant de demandes et d'expression de désirs légitimes qui allaient de pair avec la volonté de créer des structures de libre expression de concertation et d'incitation de délibération et d'échanges|otɑ̃ də dəmɑ̃dz e dɛkspʁɛsjɔ̃ də deziʁ leʒitim ki alɛ də pɛʁ avɛk la volɔ̃te də kʁee de stʁyktyʁ də libʁ ɛkspʁɛsjɔ̃ də kɔ̃sɛʁtasjɔ̃ e dɛ̃sitasjɔ̃ də delibeʁasjɔ̃ e deʃɑ̃ʒ 
FR001_7|train|beaucoup de choses ont été faites dans ce pays pour que les enfants handicapés physiques ou psychologiques puissent autant que faire se peut trouver leur place|boku də ʃozz ɔ̃t ete fɛt dɑ̃ sə pɛi puʁ kə lez ɑ̃fɑ̃ ɑ̃dikape fizik u psikoloʒik pyist otɑ̃ kə fɛʁ sə pø tʁuve lœʁ plas 
FR001_8|train|ceci autorise par conséquent en cas de manque partiel une réparation par utilisation des tissus restants lorsque ceux ci sont en quantité suffisante|səsi otoʁiz paʁ kɔ̃sekɑ̃ ɑ̃ ka də mɑ̃k paʁsjɛl yn ʁepaʁasjɔ̃ paʁ ytilizasjɔ̃ de tisy ʁɛstɑ̃ lɔʁskə sø si sɔ̃t ɑ̃ kwɑ̃tite syfizɑ̃t 
FR001_9|train|cela est la conséquence logique du développement de la maladie et de la mise au point de traitements certes de plus en plus efficaces mais également de plus en plus coûteux|səla ɛ la kɔ̃sekɑ̃s loʒik dy devlɔpmɑ̃ də la maladi e də la miz o pwɛ̃ də tʁɛtmɑ̃ sɛʁt də plyz ɑ̃ plyz efikas mɛz eɡalmɑ̃ də plyz ɑ̃ ply kutø 
FR001_10|train|ce numéro est composé de quatre nombres séparés par des points et dont la valeur est comprise entre zéro et deux cent cinquante cinq par exemple cent quatre vingt quatorze|sə nymeʁo ɛ kɔ̃poze də katʁ nɔ̃bʁ sepaʁe paʁ de pwɛ̃z e dɔ̃ la valœʁ ɛ kɔ̃pʁiz ɑ̃tʁ zeʁo e dø sɑ̃ sɛ̃kɑ̃t sɛ̃k paʁ ɛɡzɑ̃pl sɑ̃ katʁ vɛ̃ kwatɔʁz 
FR001_11|train|ce que les visiteurs ne peuvent voir c'est la banque de gènes qui conserve au froid des milliers de graines récoltées par les chercheurs et les bénévoles|sə kə le vizitœʁ nə pøv vwaʁ sɛ la bɑ̃k də ʒɛn ki kɔ̃sɛʁv o fʁwa de milje də ɡʁɛn ʁekɔlte paʁ le ʃɛʁʃœʁz e le benevol 
FR001_12|train|ces constructions permettront de fermer certains établissements particulièrement vétustes et de décharger des maisons d'arrêt connaissant un taux de surpopulation carcérale particulièrement élevé|se kɔ̃stʁyksjɔ̃ pɛʁmɛtʁɔ̃ də fɛʁme sɛʁtɛ̃z etablismɑ̃ paʁtikyljɛʁmɑ̃ vetystz e də deʃaʁʒe de mɛzɔ̃ daʁɛ kɔnɛsɑ̃ œ̃ to də syʁpopylasjɔ̃ kaʁseʁal paʁtikyljɛʁmɑ̃ elve 
FR001_13|train|ces mécanismes pourront être renforcés au cas par cas et sur une base volontaire par exemple en instaurant des marges étroites de fluctuation|se mekanism puʁɔ̃t ɛtʁ ʁɑ̃fɔʁsez o ka paʁ kaz e syʁ yn baz volɔ̃tɛʁ paʁ ɛɡzɑ̃pl ɑ̃n ɛ̃stoʁɑ̃ de maʁʒz etʁwat də flyktyasjɔ̃ 
FR001_14|train|ce stage permet de faire évoluer la formation des agents lors de changements notables au niveau des procédures des espaces aériens de la réglementation et des matériels|sə staʒ pɛʁmɛ də fɛʁ evolye la fɔʁmasjɔ̃ dez aʒɑ̃ lɔʁ də ʃɑ̃ʒmɑ̃ notablz o nivo de pʁosedyʁ dez ɛspasz aeʁjɛ̃ də la ʁeɡləmɑ̃tasjɔ̃ e de mateʁjɛl 
FR001_15|train|c'est le cas dans les télécommunications où le poids de nos entreprises dans la production mondiale est pratiquement le double de la part de notre pays sur le marché mondial|sɛ lə ka dɑ̃ le telekɔmynikasjɔ̃z u lə pwa də noz ɑ̃tʁəpʁiz dɑ̃ la pʁodyksjɔ̃ mɔ̃djal ɛ pʁatikmɑ̃ lə dubl də la paʁ də notʁ pɛi syʁ lə maʁʃe mɔ̃djal 
FR001_16|train|c'est un langage orienté objet idéal pour les réseaux ses programmes sont exécutables avec une rapidité moindre certes mais sur tout système informatique|sɛt œ̃ lɑ̃ɡaʒ oʁjɑ̃te ɔbʒɛ ideal puʁ le ʁezo se pʁɔɡʁam sɔ̃t ɛɡzekytabl avɛk yn ʁapidite mwɛ̃dʁ sɛʁt mɛ syʁ tu sistɛm ɛ̃fɔʁmatik 
