file|split|txt|ipa
GE005_1|train|diese gleichsam von oben betriebene klassenpolitik wäre freilich nicht erfolgreich gewesen wenn sie nicht im mittelstand so große resonanz gefunden hätte|diːzə ɡlaɪksɑːm fɔn oːbən bətɾiːbənə klasənpoːliːtiːk vɛːrə fraɪlɪç nɪçt ɛɾfɔlɡɾaɪç ɡəveːzən vɛn ziː nɪçt ɪm mɪtəlstant zoː ɡɾoːsə reːzoːnants ɡəfʊndən hɛtə 
GE005_2|train|im gegensatz zur bosnischen seite konnte der anwalt belgrads zunächst seine anschuldigungen nicht belegen angeblich aus zeitmangel|ɪm ɡeːɡənzats tsuːɾ bɔsnɪʃən zaɪtə kɔntə dɛɾ anvalt bɛlɡɾats tsuːnɛçst zaɪnə anʃʊldɪɡʊŋən nɪçt bəleːɡən anɡəblɪç aʊs tsaɪtmaŋəl 
GE005_3|train|die bundesbank hat erst kürzlich nachdrücklich vor einer weiteren zunahme der haushaltsdefizite gewarnt|diː bʊndəsbaŋk hat eːɾst kʏɾtslɪç naxdɾʏklɪç fɔɾ aɪnɜ vaɪtərən tsuːnɑːmə dɛɾ haʊshaltsdeːfiːtsiːtə ɡəvaɾnt 
GE005_4|train|die deutsche nationalmannschaft hat durch einen 5:3-sieg gegen frankreich in dortmund bei der eishockey-weltmeisterschaft fast sicher das viertelfinale erreicht|diː dɔøtʃə natsɪoːnalmanʃaft hat dʊɐç aɪnən fʏnf dɾaɪziːk ɡeːɡən fraŋkɾaɪç ɪn dɔɾtmʊnt baɪ dɛɾ aɪshɔkeːvɛltmaɪstɜʃaft fast zɪçɜ das fiːɾtəlfiːnɑːlə ɛɾraɪçt 
GE005_5|train|die menschenrechtskonferenz der vereinten nationen in wien ist von den veranstaltern gleich am eröffnungstag um den von ihr beanspruchten ruf gebracht worden|diː mɛnʃənrɛçtskɔnfeːrɛnts dɛɾ fɛɾaɪntən natsɪoːnən ɪn viːn ɪst fɔn deːn fɛranʃtaltɜn ɡlaɪç am ɛɾœfnʊŋstɑːk ʊm deːn fɔn iːɾ bəanʃpɾʊxtən ruːf ɡəbɾaxt vɔɾdən 
GE005_6|train|seltsamerweise ist die slowakische regierung dem wunsch geneigt|zɛltzamɜvaɪzə ɪst diː sloːvɑkɪʃə reːɡiːrʊŋ deːm vʊnʃ ɡənaɪkt 
GE005_7|train|das mag er als ungerecht empfinden|das mɑːk ɛɾ als ʊnɡərɛçt ɛmpfɪndən 
GE005_8|train|es könne dazu kommen daß die vereinten nationen soldaten nicht bloß als katastrophenhelfer sondern mit kampfauftrag einzusetzen hätten hat der spd-vorsitzende einmal gesagt|ɛs kœnə dɑːtsuː kɔmən das diː fɛɾaɪntən natsɪoːnən zɔldɑːtən nɪçt bloːs als kɑtastɾoːfənhɛlfɜ zɔndɜn mɪt kampfaʊftɾɑːk aɪntsuːzɛtsən hɛtən hat dɛɾ ɛspeːdeːfoːɾzɪtsəndə aɪnmɑːl ɡəzɑːkt 
GE005_9|train|oft seien familiäre einschränkungen und interessen ein wesentliches hindernis wenn es um die berufliche ausbildung gehe|ɔft zaɪən fɑmiːliːɛːrə aɪnʃrɛnkʊŋən ʊnt ɪntərɛsən aɪn veːzəntlɪçəs hɪndɜnɪs vɛn ɛs ʊm diː bəruːflɪçə aʊsbɪldʊŋ ɡeːə 
GE005_10|train|die leitungskader dieser betriebe hatten großen politischen einfluß|diː laɪtʊnkskɑːdɜ diːzɜ bətɾiːbə hatən ɡɾoːsən poːliːtɪʃən aɪnfluːs 
GE005_11|train|wir wollen doch die mitmenschen unter uns nicht zu fremden stempeln die seit jahren ja jahrzehnten bewiesen haben daß auch deutschland für sie als bürger heimat ist|viːɾ vɔlən dɔx diː mɪtmɛnʃən ʊntɜ ʊns nɪçt tsuː frɛmdən ʃtɛmpəln diː zaɪt jɑːrən jɑː jɑːɾtseːntən bəviːzən hɑːbən das aʊx dɔøtʃlant fyːɾ ziː als bʏɾɡɜ haɪmɑːt ɪst 
GE005_12|train|aber sarajevo der entscheidende knoten dem präsident clinton nationale bedeutung für die vereinigten staaten zugesprochen hat ist gelockert|ɑːbɜ zɑrajeːvoː dɛɾ ɛntʃaɪdəndə knoːtən deːm pɾɛːziːdɛnt klɪntoːn natsɪoːnɑːlə bədɔøtʊŋ fyːɾ diː fɛɾaɪnɪɡtən ʃtɑːtən tsuːɡɛʃpɾɔxən hat ɪst ɡəlɔkɜt 
GE005_13|train|doch kam man überein die fdp werde am wirtschaftsministerium festhalten und es mit einem fachpolitiker der partei besetzen|dɔx kɑːm man yːbɜaɪn diː ɛfdeːpeː vɛɾdə am vɪɾtʃaftsmiːnɪsteːriːʊm fɛsthaltən ʊnt ɛs mɪt aɪnəm faxpoːliːtiːkɜ dɛɾ paɾtaɪ bəzɛtsən 
GE005_14|train|noch fehlen dem provinzial die mittel dazu und er hat mühe sein anliegen zu erläutern da es überall am nötigsten fehlt|nɔx feːlən deːm pɾoːvɪntsiːɑːl diː mɪtəl dɑːtsuː ʊnt ɛɾ hat myːə zaɪn anliːɡən tsuː ɛɾlɔøtɜn dɑː ɛs yːbɜal am nøːtɪçstən feːlt 
GE005_15|train|eine gemischte staffel würde sich möglicherweise in grüppchen und buhlende konkurrenten auflösen|aɪnə ɡəmɪʃtə ʃtafəl vʏɾdə zɪç mœɡlɪçɜvaɪzə ɪn ɡɾʏpçən ʊnt buːləndə kɔnkʊrɛntən aʊfløːzən 
