file|split|txt|ipa
SP019_1|train|ortega dispuesto a nuevas relaciones con ee|oɾteɣa ðispwesto a nweβas ɾɾelaθjones kon ee 
SP019_2|train|madrid|maðɾid 
SP019_3|train|el ex presidente de nicaragua daniel ortega está dispuesto a buscar un nuevo tipo de relaciones con estados unidos especialmente difíciles en la era de reagan|el eks pɾesiðɛnte ðe nikaɾaɣwa ðanjel oɾteɣa esta ðispwesto a βuskaɾ un nweβo tipo ðe ɾɾelaθjones kon estaðos uniðos espeθjalmente ðifiθiles en la eɾa ðe ɾɾeaɣan 
SP019_4|train|el ex presidente de nicaragua daniel ortega está dispuesto a buscar un nuevo tipo de relaciones con estados unidos especialmente difíciles en la era reagan si sale vencedor en las elecciones generales del próximo día 20|el eks pɾesiðɛnte ðe nikaɾaɣwa ðanjel oɾteɣa esta ðispwesto a βuskaɾ un nweβo tipo ðe ɾɾelaθjones kon estaðos uniðos espeθjalmente ðifiθiles en la eɾa ɾɾeaɣan si sale βenθeðoɾ en las elekθjones xeneɾales ðel pɾoksimo ðia βeɪnte 
SP019_5|train|en una entrevista para el periódico de cataluña el líder del frente sandinista de liberación nacional fsln considera aventurado|en una entɾeβista paɾa el peɾjoðiko ðe kataluɲa el liðeɾ ðel fɾɛnte sandinista ðe liβeɾaθjon naθjonal efeeseeleɛne konsiðeɾa aβentuɾaðo 
SP019_6|train|en una entrevista para el periódico de cataluña el líder del frente sandinista de liberación nacional fsln considera aventurado erigirse en triunfador de los comicios porque es una batalla dura|en una entɾeβista paɾa el peɾjoðiko ðe kataluɲa el liðeɾ ðel fɾɛnte sandinista ðe liβeɾaθjon naθjonal efeeseeleɛne konsiðeɾa aβentuɾaðo eɾixiɾse en tɾiumfaðoɾ ðe los komiθjos poɾke es una βataʎa ðuɾa 
SP019_7|train|pero se muestra optimista por el futuro de su grupo cuya propuesta de formar un gobierno de unidad nacional ha ido calando|peɾo se mwestɾa opːtimista poɾ el futuɾo ðe su ɣɾupo kujja pɾopwesta ðe foɾmaɾ uŋ ɡoβjeɾno ðe uniðad naθjonal a iðo kalando 
SP019_8|train|pero se muestra optimista por el futuro de su grupo cuya propuesta de formar un gobierno de unidad nacional ha ido calando porque está vinculada a la cuestión de la estabilidad|peɾo se mwestɾa opːtimista poɾ el futuɾo ðe su ɣɾupo kujja pɾopwesta ðe foɾmaɾ uŋ ɡoβjeɾno ðe uniðad naθjonal a iðo kalando poɾke esta βinkulaða a la kwestjon de la estaβiliðad 
SP019_9|train|una estabilidad indica que debe venir de la mano de la democratización de la propiedad que tiende a ser negada por la actual política económica|una estaβiliðað indika ke ðeβe βeniɾ ðe la mano ðe la ðemokɾatiθaθjon de la pɾopjeðad ke tjɛnde a ser neɣaða poɾ la aktwal politika ekonomika 
SP019_10|train|lo más importante es reactivar la actividad productiva porque la situación de crisis que vive el país requiere de un esfuerzo de todos los nicaragüenses señala ortega quien fue <de-> desbancado del poder por violeta chamorro en 1990 contra todo pronóstico|lo mas impoɾtante es ɾɾeaktiβaɾ la aktiβiðad pɾoðuktiβa poɾke la sitwaθjon de kɾisis ke βiβe el pais ɾɾekjeɾe ðe un esfweɾθo ðe toðos los nikaɾaɣuɛnses seɲala oɾteɣa kjem fwe de desβankaðo ðel poðeɾ poɾ βjoleta tʃamoɾɾo en mil noβeθjɛntos noβɛnta kontɾa toðo pɾonostiko 
SP019_11|train|el diputado en la asamblea nacional y secretario general del fsln achaca la grave situación a la globalización de la economía que tiene un impacto muy negativo en economías pequeñas como la nicaragüense|el ðiputaðo en la asamblea naθjonal i sekɾetaɾjo xeneɾal ðel efeeseeleɛne atʃaka la ɣɾaβe sitwaθjon a la ɣloβaliθaθjon de la ekonomia ke tjene un impakto mujj neɣatiβo en ekonomias pekeɲas komo la nikaɾaɣuɛnse 
SP019_12|train|existe una situación totalmente antidemocrática en las relaciones económicas internacionales porque la llamada globalización de la economía va en beneficio del monopolio de los países desarrollados que tienen en sus manos la tecnología apunta ortega|eksiste una sitwaθjon totalmente antiðemokɾatika en las ɾɾelaθjones ekonomikas inteɾnaθjonales poɾke la ʎamaða ɣloβaliθaθjon de la ekonomia βa em benefiθjo ðel monopoljo ðe los paises ðesaɾɾoʎaðos ke tjenen en sus manos la teknoloxia apunta oɾteɣa 
SP019_13|train|por ello aboga por resolver el problema de la propiedad lo que significa darle seguridad a la propiedad a todos los que fueron beneficiados con la entrega de tierras de empresas dice ortega en la entrevista que va acompañada de una fotografía en la que se ve dice ortega en la entrevista que va acompañada de una fotografía en la que se ve al líder sandinista sosteniendo en un hombro a un bebé durante un acto electoral|poɾ eʎo aβoɣa poɾ ɾɾesolβeɾ el pɾoβlema ðe la pɾopjeðad lo ke siɡnifika ðaɾle seɣuɾiðað a la pɾopjeðað a toðos los ke fweɾom benefiθjaðos kon la entɾeɣa ðe tjeɾɾas ðe empɾesas ðiθe oɾteɣa en la entɾeβista ke βa akompaɲaða ðe una fotoɣɾafia en la ke se βe ðiθe oɾteɣa en la entɾeβista ke βa akompaɲaða ðe una fotoɣɾafia en la ke se βe al liðeɾ sandinista sostenjɛndo en un ombɾo a um beβe ðuɾante un akto elektoɾal 
SP019_14|train|daniel ortega se muestra igualmente dispuesto a abrir las puertas a otras formaciones políticas incluso a una alianza para la primera vuelta de los comicios|danjel oɾteɣa se mwestɾa iɣwalmente ðispwesto a aβɾiɾ las pweɾtas a otɾas foɾmaθjones politikas inkluso a una aljanθa paɾa la pɾimeɾa βwelta ðe los komiθjos 
SP019_15|train|indica que pese a que en la campaña electoral sus contrincantes están utilizando como contrapropaganda la cuestión de las relaciones con eeuu nosotros vamos a tratar de buscar un nuevo tipo de relaciones que no fueron posibles en la década de los 80 cuando el presidente era ronald reagan|indika ke pese a ke en la kampaɲa elektoɾal sus kontɾinkantes estan utiliθando komo kontɾapɾopaɣanda la kwestjon de las ɾɾelaθjones kon eeʊu nosotɾos βamos a tɾataɾ ðe βuskaɾ un nweβo tipo ðe ɾɾelaθjones ke no fweɾom posiβles en la ðekaða ðe los otʃɛnta kwando el pɾesiðɛnte eɾa ɾɾonalð ɾɾeaɣan 
SP019_16|train|el pbi creció punto 5 por ciento en el 1er semestre|el peβei kɾeθjo punto θinko poɾ θjɛnto en el uno eɾ semestɾe 
SP019_17|train|actividad económica sigue en su lenta recuperación|aktiβiðað ekonomika siɣe en su lɛnta ɾɾekupeɾaθjon 
SP019_18|train|el producto bruto interno creció punto 5 por ciento en el primer semestre del presente año respecto a igual lapso de 1995 manteniendo el nivel de recuperación registrado en el primer trimestre|el pɾoðukto βɾuto inteɾno kɾeθjo punto θinko poɾ θjɛnto en el pɾimeɾ semestɾe ðel pɾesɛnte aɲo ɾɾespekto a iɣwal lapso ðe mil noβeθjɛntos noβɛntaiθinko mantenjɛndo el niβel ðe ɾɾekupeɾaθjon ɾɾexistɾaðo en el pɾimeɾ tɾimestɾe 
SP019_19|train|comparando el segundo trimestre de 1996 con el segundo de 1995 el crecimiento del pbi se sitúa en el punto 6 por ciento|kompaɾando el seɣundo tɾimestɾe ðe mil noβeθjɛntos noβɛntaiseɪs kon el seɣundo ðe mil noβeθjɛntos noβɛntaiθinko el kɾeθimjɛnto ðel peβei se situa en el punto seɪs poɾ θjɛnto 
SP019_20|train|según la información oficial mejoró el nivel de actividad en los sectores agropecuarios industrias manufactureras electricidad gas y agua transporte y comunicaciones y otros mientras se contrajeron la pesca la construcción y el grupo de comercio restaurantes y hoteles|seɣun la imfoɾmaθjon ofiθjal mexoɾo el niβel ðe aktiβiðað en los sektoɾes aɣɾopekwaɾjos industɾias manufaktuɾeɾas elektɾiθiðad ɣas i aɣwa tɾanspoɾte i komunikaθjones i otɾos mjentɾas se kontɾaxeɾon la peska la konstɾukθjon i el ɣɾupo ðe komeɾθjo ɾɾestaʊɾantes i oteles 
SP019_21|train|la producción agropecuaria fue el principal componente del crecimiento del producto con un 5 2 por ciento en el semestre|la pɾoðukθjon aɣɾopekwaɾja fwe el pɾinθipal komponɛnte ðel kɾeθimjɛnto ðel pɾoðukto kon un θinko ðos poɾ θjɛnto en el semestɾe 
SP019_22|train|la producción de arroz con altos rendimientos y el aumento del área sembrada de trigo cebada y maíz son los puntos más destacados|la pɾoðukθjon de aɾɾoθ kon altos ɾɾendimjɛntos i el aʊmɛnto ðel aɾea sembɾaða ðe tɾiɣo θeβaða i maiθ son los puntos mas ðestakaðos 
SP019_23|train|el subsector pecuario incrementó la producción vacuna se espera mayor volumen de lana al término de la zafrada mientras la producción lechera se recuperó parcialmente de la caída experimentada en el primer trimestre del año|el suβsektoɾ pekwaɾjo inkɾemento la pɾoðukθjom bakuna se espeɾa majjoɾ βolumen de lana al teɾmino ðe la θafɾaða mjentɾas la pɾoðukθjon letʃeɾa se ɾɾekupeɾo paɾθjalmente ðe la kaiða ekspeɾimentaða en el pɾimeɾ tɾimestɾe ðel aɲo 
SP019_24|train|la industria manufacturera que creció punto 9 por ciento en medio año tuvo como principal causa de la mejora el funcionamiento de la refinería|la industɾia manufaktuɾeɾa ke kɾeθjo punto nweβe poɾ θjɛnto en meðjo aɲo tuβo komo pɾinθipal kaʊsa ðe la mexoɾa el funθjonamjɛnto ðe la ɾɾefineɾia 
SP019_25|train|la industria manufacturera que creció punto 9 por ciento en medio año tuvo como principal causa de la mejora el funcionamiento de la refinería de ancap que todavía sigue incidiendo en el sector industrial|la industɾia manufaktuɾeɾa ke kɾeθjo punto nweβe poɾ θjɛnto en meðjo aɲo tuβo komo pɾinθipal kaʊsa ðe la mexoɾa el funθjonamjɛnto ðe la ɾɾefineɾia ðe ankap ke toðaβia siɣe inθiðjɛndo en el sektoɾ industɾial 
SP019_26|train|el sector electricidad gas y agua creció 6 punto 1 por ciento|el sektoɾ elektɾiθiðad ɣas i aɣwa kɾeθjo seɪs punto uno poɾ θjɛnto 
SP019_27|train|la construcción descendió 1 punto 3 por ciento pero mejoró respecto al primer trimestre cuando la contracción registrada fue del <diecisiet-> del 10 punto 7 por ciento respecto a igual período de 1995|la konstɾukθjon desθendjo uno punto tɾes poɾ θjɛnto peɾo mexoɾo ɾɾespekto al pɾimeɾ tɾimestɾe kwando la kontɾakθjon ɾɾexistɾaða fwe ðel djeθisjet del ðjɛθ punto sjete poɾ θjɛnto ɾɾespekto a iɣwal peɾioðo ðe mil noβeθjɛntos noβɛntaiθinko 
SP019_28|train|transporte y comunicaciones creció 3 punto 1 por ciento debido al transporte aéreo de carga y servicios conexos|tɾanspoɾte i komunikaθjones kɾeθjo tɾes punto uno poɾ θjɛnto ðeβiðo al tɾanspoɾte aeɾeo ðe kaɾɣa i seɾβiθjos koneksos 
SP019_29|train|la pesca descendió 11 punto 3 por ciento y el ítem otros componentes del producto creció 1 punto 1 por ciento|la peska ðesθendjo onθe punto tɾes poɾ θjɛnto i el item otɾos komponɛntes ðel pɾoðukto kɾeθjo uno punto uno poɾ θjɛnto 
SP019_30|train|seguridad social subrayan el interés internacional por el modelo uruguayo|seɣuɾiðad soθjal suβɾajjan el inteɾes inteɾnaθjonal poɾ el moðelo uɾuɣwajjo 
SP019_31|train|la reforma de la seguridad social en nuestro país ha despertado un interés internacional muy fuerte comprobado en lo expresado por varias naciones como españa méxico costa rica honduras trinidad y tobago y panamá entre otras|la ɾɾefoɾma ðe la seɣuɾiðad soθjal en nwestɾo pais a ðespeɾtaðo un inteɾes inteɾnaθjonal mujj fweɾte kompɾoβaðo en lo ekspɾesaðo poɾ βaɾjas naθjones komo espaɲa mɛxiko kosta ɾɾika onduɾas tɾiniðað i toβaɣo i panama entɾe otɾas 
SP019_32|train|así lo expresó a el pais el director ejecutivo por uruguay en el banco interamericano de desarrollo javier bonilla quien subrayó que tanto al nivel internacional global como a nivel regional crecientemente se escuchan menciones laudatorias sobre la reforma uruguaya|asi lo ekspɾeso a el paɪs el ðiɾektoɾ exekutiβo poɾ uɾuɣwaɪ en el βanko inteɾameɾikano ðe ðesaɾɾoʎo xaβjeɾ βoniʎa kjen suβɾajjo ke tanto al niβel inteɾnaθjonal ɣloβal komo a niβel ɾɾexjonal kɾeθjɛntemente se eskutʃan menθjones laʊðatoɾjas soβɾe la ɾɾefoɾma uɾuɣwajja 
SP019_33|train|bonilla aseguró que hasta hace poco se veía la reforma como una medida tibia frente a otros modelos pero eso no ocurre más y al contrario se destaca ahora la característica especial que se anima a explorar e instrumentar una nueva propuesta de sistema mixto|boniʎa aseɣuɾo ke asta aθe poko se βeia la ɾɾefoɾma komo una meðiða tiβja fɾɛnte a otɾos moðelos peɾo eso no okuɾɾe mas i al kontɾaɾjo se ðestaka aoɾa la kaɾakteɾistika espeθjal ke se anima a eksploɾaɾ e instɾumentaɾ una nweβa pɾopwesta ðe sistema miksto 
SP019_34|train|otro hecho llamativo en opinión del jerarca consiste en que se ha superado con creces el número de afiliaciones a la afap previsto en el crédito que el bid aprobó para financiar la transición del sistema antiguo al nuevo|otɾo etʃo ʎamatiβo en opinjon del xeɾaɾka konsiste en ke se a supeɾaðo kon kɾeθes el numeɾo ðe afiljaθjones a la afap pɾeβisto en el kɾeðito ke el βið apɾoβo paɾa finanθjaɾ la tɾansiθjon del sistema antiɣwo al nweβo 
SP019_35|train|y este hecho resalta el éxito pues la enorme mayoría de las afiliaciones se han hecho por elección y propia voluntad de los trabajadores especialmente <l-> los jóvenes manifestó|i este etʃo ɾɾesalta el eksito pwes la enoɾme majjoɾia ðe las afiljaθjones se an etʃo poɾ elekθjon i pɾopja βoluntad ðe los tɾaβaxaðoɾes espeθjalmente ɛle los xoβenes manifesto 
SP019_36|train|paralelamente otra de las bondades del nuevo sistema es que permite el funcionamiento de las fuerzas del mercado reflejadas en la competencia activa que existe entre <lo-> entre las administradoras de fondos de pensión|paɾalelamente otɾa ðe las βondaðes ðel nweβo sistema es ke peɾmite el funθjonamjɛnto ðe las fweɾθas ðel meɾkaðo ɾɾeflexaðas en la kompetɛnθja aktiβa ke eksiste entɾe lo entɾe las administɾaðoɾas ðe fondos ðe pensjon 
SP019_37|train|consultado sobre las razones para que el bid y el mismo gobierno aguardaran un número mucho menor de afiliaciones para esta misma época del año bonilla señaló bueno tanto el banco como el gobierno tenían la percepción de que el rechazo a una idea que se venía manejando desde el primer proyecto de reforma presentado por el entonces ministro hugo fernández <gain-> en 1987 y en los cuatro proyectos de la administración del dr lacalle ponía dudas sobre que la población fuera a pasar más rápido de un sistema a otro|konsultaðo soβɾe las ɾɾaθones paɾa ke el βið i el mismo ɣoβjeɾno aɣwaɾðaɾan un numeɾo mutʃo menoɾ ðe afiljaθjones paɾa esta misma epoka ðel aɲo βoniʎa seɲalo βweno tanto el βanko komo el ɣoβjeɾno tenian la peɾθepθjon de ke el ɾɾetʃaθo a una iðea ke se βenia manexando ðesðe el pɾimeɾ pɾojjekto ðe ɾɾefoɾma pɾesentaðo poɾ el entonθes ministɾo uɣo feɾnandeθ ɡaɪn en mil noβeθjɛntos otʃɛntaisjete i en los kwatɾo pɾojjektos ðe la administɾaθjon del ðeɛɾe lakaʎe ponia ðuðas soβɾe ke la poβlaθjom fweɾa a pasaɾ mas ɾɾapiðo ðe un sistema a otɾo 
SP019_38|train|y parece que ha sucedido lo contrario|i paɾeθe ke a suθeðiðo lo kontɾaɾjo 
SP019_39|train|uno de los elementos que ha contribuido al éxito de la reforma según el director ejecutivo es la aparición de la afap república que no siempre fue muy bien <eq-> entendida aquí en el banco y constituye un puente de articulación entre lo público y lo privado y que la población entendió con mucha rapidez|uno ðe los elemɛntos ke a kontɾiβwiðo al eksito ðe la ɾɾefoɾma seɣun el ðiɾektoɾ exekutiβo es la apaɾiθjon de la afap ɾɾepuβlika ke no sjempɾe fwe mujj βjen ek entendiða aki en el βanko i konstitujje um pwɛnte ðe aɾtikulaθjon entɾe lo puβliko i lo pɾiβaðo i ke la poβlaθjon entendjo kon mutʃa ɾɾapiðeθ 
SP019_40|train|las reformas a la chilena explicó enseguida responden a situaciones que no siempre se encuentran en américa latina|las ɾɾefoɾmas a la tʃilena ekspliko enseɣiða ɾɾesponden a sitwaθjones ke no sjempɾe se enkwɛntɾan en ameɾika latina 
SP019_41|train|en cambio si pretendemos entender en el directorio del banco lo que sucede el modelo <urigu-> uruguayo tiende a adaptarse bastante mejor a la realidad democrática de américa latina donde una cierta presencia de lo público parece requerirse|en kambjo si pɾetendemos entendeɾ en el ðiɾektoɾjo ðel βanko lo ke suθeðe el moðelo uɾiɣu uɾuɣwajjo tjɛnde a aðapːtaɾse βastante mexoɾ a la ɾɾealiðad ðemokɾatika ðe ameɾika latina ðonde una θjeɾta pɾesɛnθja ðe lo puβliko paɾeθe ɾɾekeɾiɾse 
SP019_42|train|tiene otro elemento que el entrevistado consideró trascendente y es que cuando la cosa está bien explicada y la gente siente que el cambio trae beneficios y es posible entonces la reacción supera todas las expectativas|tjene otɾo elemɛnto ke el entɾeβistaðo konsiðeɾo tɾasθendɛnte i es ke kwando la kosa esta βjen eksplikaða i la xɛnte sjɛnte ke el kambjo tɾae βenefiθjos i es posiβle entonθes la ɾɾeakθjon supeɾa toðas las ekspektatiβas 
SP020_1|train|pidió a los fieles que me acompañen con sus oraciones|piðjo a los fjeles ke me akompaɲen kon sus oɾaθjones 
SP020_2|train|el papa se someterá a su sexta operación mañana|el papa se someteɾa a su seksta opeɾaθjon maɲana 
