ㄅㄚ pɑ1
ㄅㄚˇ pɑ3
ㄅㄚˊ pɑ2
ㄅㄚˋ pɑ4
ㄅㄚ˙ pɑ0
ㄅㄛ pɔ1
ㄅㄛˇ pɔ3
ㄅㄛˊ pɔ2
ㄅㄛˋ pɔ4
ㄅㄛ˙ pɔ0
ㄅㄞ pai1
ㄅㄞˇ pai3
ㄅㄞˊ pai2
ㄅㄞˋ pai4
ㄅㄞ˙ pai0
ㄅㄟ pei1
ㄅㄟˇ pei3
ㄅㄟˊ pei2
ㄅㄟˋ pei4
ㄅㄟ˙ pei0
ㄅㄠ pɑu1
ㄅㄠˇ pɑu3
ㄅㄠˊ pɑu2
ㄅㄠˋ pɑu4
ㄅㄠ˙ pɑu0
ㄅㄢ pan1
ㄅㄢˇ pan3
ㄅㄢˊ pan2
ㄅㄢˋ pan4
ㄅㄢ˙ pan0
ㄅㄣ pən1
ㄅㄣˇ pən3
ㄅㄣˊ pən2
ㄅㄣˋ pən4
ㄅㄣ˙ pən0
ㄅㄤ pɑŋ1
ㄅㄤˇ pɑŋ3
ㄅㄤˊ pɑŋ2
ㄅㄤˋ pɑŋ4
ㄅㄤ˙ pɑŋ0
ㄅㄥ pəŋ1
ㄅㄥˇ pəŋ3
ㄅㄥˊ pəŋ2
ㄅㄥˋ pəŋ4
ㄅㄥ˙ pəŋ0
ㄅㄧ pi1
ㄅㄧˇ pi3
ㄅㄧˊ pi2
ㄅㄧˋ pi4
ㄅㄧ˙ pi0
ㄅㄧㄝ piɛ1
ㄅㄧㄝˇ piɛ3
ㄅㄧㄝˊ piɛ2
ㄅㄧㄝˋ piɛ4
ㄅㄧㄝ˙ piɛ0
ㄅㄧㄠ piɑu1
ㄅㄧㄠˇ piɑu3
ㄅㄧㄠˊ piɑu2
ㄅㄧㄠˋ piɑu4
ㄅㄧㄠ˙ piɑu0
ㄅㄧㄢ piɛn1
ㄅㄧㄢˇ piɛn3
ㄅㄧㄢˊ piɛn2
ㄅㄧㄢˋ piɛn4
ㄅㄧㄢ˙ piɛn0
ㄅㄧㄣ pin1
ㄅㄧㄣˇ pin3
ㄅㄧㄣˊ pin2
ㄅㄧㄣˋ pin4
ㄅㄧㄣ˙ pin0
ㄅㄧㄥ piŋ1
ㄅㄧㄥˇ piŋ3
ㄅㄧㄥˊ piŋ2
ㄅㄧㄥˋ piŋ4
ㄅㄧㄥ˙ piŋ0
ㄅㄨ pu1
ㄅㄨˇ pu3
ㄅㄨˊ pu2
ㄅㄨˋ pu4
ㄅㄨ˙ pu0
ㄆㄚ pʰɑ1
ㄆㄚˇ pʰɑ3
ㄆㄚˊ pʰɑ2
ㄆㄚˋ pʰɑ4
ㄆㄚ˙ pʰɑ0
ㄆㄛ pʰɔ1
ㄆㄛˇ pʰɔ3
ㄆㄛˊ pʰɔ2
ㄆㄛˋ pʰɔ4
ㄆㄛ˙ pʰɔ0
ㄆㄞ pʰai1
ㄆㄞˇ pʰai3
ㄆㄞˊ pʰai2
ㄆㄞˋ pʰai4
ㄆㄞ˙ pʰai0
